Name,WOD_2__Business_Units__c,WOD_2__Description__c,VRM_Failure_Code__c,VRM_Resolution_Code__c,WOD_2__Parent_Warranty_Code__c
Coil Failure,VRM-NA,Coil Failure,,,
Mis-manufactured,VRM-NA,Mis-manufactured,,,
Leaking,VRM-NA,Leaking,,,
Won't close,VRM-NA,Won't close,,,
Other -- Fill in Comments,VRM-NA,Other -- Fill in Comments,,,
Part Dimensions Incorrect,VRM-NA,Part Dimensions Incorrect,,,
Shipment Damage,VRM-NA,Shipment Damage,,,
Will Not Rotate,VRM-NA,Will Not Rotate,,,
Calibration changed/out of spec,VRM-NA,Calibration changed/out of spec,,,
Contact Points Burned,VRM-NA,Contact Points Burned,,,
Contactor Chattering,VRM-NA,Contactor Chattering,,,
Contactor Locked in,VRM-NA,Contactor Locked in,,,
Contactor not pulling in,VRM-NA,Contactor not pulling in,,,
Disconnect Switch Fails Closed,VRM-NA,Disconnect Switch Fails Closed,,,
Disconnect Switch Fails Open,VRM-NA,Disconnect Switch Fails Open,,,
Electrical Component Failure,VRM-NA,Electrical Component Failure,,,
Electrical Specs Not Met,VRM-NA,Electrical Specs Not Met,,,
Fuse Block Defective,VRM-NA,Fuse Block Defective,,,
Grounding Block Defective,VRM-NA,Grounding Block Defective,,,
Housing Damaged,VRM-NA,Housing Damaged,,,
Intermittent Operations,VRM-NA,Intermittent Operations,,,
Leads corroded/broken,VRM-NA,Leads corroded/broken,,,
Cracked Liner,VRM-NA,Cracked Liner,,,
Flow not registering,VRM-NA,Flow not registering,,,
Head Filling with Water,VRM-NA,Head Filling with Water,,,
Signal Weak,VRM-NA,Signal Weak,,,
Contact Warranty Department - Not within,VRM-NA,Contact Warranty Department - Not within,,,
Hose Pulled off,VRM-NA,Hose Pulled off,,,
Hose Split,VRM-NA,Hose Split,,,
Insufficient Clamping Force,VRM-NA,Insufficient Clamping Force,,,
Ultraviolet Degradation,VRM-NA,Ultraviolet Degradation,,,
Dent in Pipe,VRM-NA,Dent in Pipe,,,
Finish Appearance Faulty,VRM-NA,Finish Appearance Faulty,,,
Flanges not Square,VRM-NA,Flanges not Square,,,
Flanges Out of Time,VRM-NA,Flanges Out of Time,,,
Galvanizing Bare Spots,VRM-NA,Galvanizing Bare Spots,,,
Galvanizing Quality,VRM-NA,Galvanizing Quality,,,
Hitch ball bolt failed,VRM-NA,Hitch ball bolt failed,,,
Hole in Pipe,VRM-NA,Hole in Pipe,,,
